seed,condition,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs,mean_decision_latency_ms,p95_decision_latency_ms,decision_calls
2023,bandwidth_dropout_20pct,11375.146926493577,11072.304327317695,157.23043273176955,0.0,11532.377359225346,10.2,0.58,0.0,0.0,5.0,18.082040001172572,29.033759993035346,5.0
2023,bandwidth_dropout_50pct,11375.146926493577,11072.304327317695,157.23043273176955,0.0,11532.377359225346,10.2,0.58,0.0,0.0,5.0,12.122600013390183,18.30514003522694,5.0
2024,clean,10754.023322137642,10195.11336847191,69.51133684719098,0.0,10823.534658984832,9.6,0.46,0.0,0.0,5.0,9.8104799981229,16.997500008437783,5.0
2024,price_noise_low,10728.5391594291,10259.364967656566,75.93649676565656,0.0,10804.475656194756,9.74,0.44,0.0,0.0,5.0,6.437079992610961,6.614240002818406,5.0
2024,price_noise_high,10697.841096730386,10133.757889123324,63.37578891233243,0.0,10761.216885642718,10.4,0.46,0.0,0.0,5.0,6.82104000588879,7.3455599951557815,5.0
2024,cef_noise_high,10763.291864874125,10250.400725965213,75.04007259652136,0.0,10838.331937470646,9.96,0.5,0.0,0.0,5.0,7.0818199892528355,8.932099968660623,5.0
2024,bandwidth_dropout_20pct,10754.023322137642,10195.11336847191,69.51133684719098,0.0,10823.534658984832,9.6,0.46,0.0,0.0,5.0,6.517699989490211,6.712519971188158,5.0
2024,bandwidth_dropout_50pct,10761.545381538086,10194.923595462846,69.49235954628458,0.0,10831.03774108437,9.84,0.46,0.0,0.0,5.0,6.371359992772341,6.765640003141016,5.0
2025,clean,11129.957902044738,10837.038127082416,133.70381270824166,0.0,11263.66171475298,13.78,0.72,0.0,0.0,5.0,6.847960012964904,7.229280029423535,5.0
2025,price_noise_low,11046.378803256195,10918.76872882303,141.876872882303,0.0,11188.255676138499,11.64,0.68,0.0,0.0,5.0,6.648400006815791,7.38200000487268,5.0
2025,price_noise_high,10789.207851877145,10934.505044752326,143.45050447523263,0.0,10932.658356352378,11.76,0.7,0.0,0.0,5.0,6.617539981380105,6.959779956378043,5.0
2025,cef_noise_high,11147.653491691975,10932.21905167795,143.22190516779503,0.0,11290.87539685977,12.9,0.7,0.0,0.0,5.0,6.67039998807013,7.035759987775236,5.0
2025,bandwidth_dropout_20pct,11129.957902044738,10837.038127082416,133.70381270824166,0.0,11263.66171475298,13.78,0.72,0.0,0.0,5.0,6.518759997561574,6.942019972484559,5.0
2025,bandwidth_dropout_50pct,11129.957902044738,10837.038127082416,133.70381270824166,0.0,11263.66171475298,13.78,0.72,0.0,0.0,5.0,6.565980007871985,6.90453996649012,5.0
2026,clean,11135.00920961933,11109.21989202101,160.92198920210103,0.0,11295.93119882143,12.96,0.46,0.0,0.0,5.0,6.513699993956834,6.981479981914163,5.0
2026,price_noise_low,11155.93494364316,11054.199621214837,155.4199621214837,0.0,11311.354905764643,12.62,0.46,0.0,0.0,5.0,6.188320019282401,6.341160030569881,5.0
2026,price_noise_high,11295.041792231657,11040.818443187058,154.08184431870578,0.0,11449.123636550363,13.26,0.54,0.0,0.0,5.0,6.5210600034333766,6.971720035653561,5.0
2026,cef_noise_high,11145.758268540427,11273.973253754102,177.39732537541022,0.0,11323.155593915837,12.22,0.46,0.0,0.0,5.0,6.517139985226095,6.683059956412762,5.0
2026,bandwidth_dropout_20pct,11135.00920961933,11109.21989202101,160.92198920210103,0.0,11295.93119882143,12.96,0.46,0.0,0.0,5.0,6.747280003037304,7.239980006124824,5.0
2026,bandwidth_dropout_50pct,11135.00920961933,11109.21989202101,160.92198920210103,0.0,11295.93119882143,12.96,0.46,0.0,0.0,5.0,7.152459991630167,7.854000013321638,5.0
2027,clean,10789.97826006562,10570.512007501422,107.0512007501422,0.0,10897.029460815762,14.42,0.56,0.0,0.0,5.0,6.8840799969621,7.847279997076839,5.0
2027,price_noise_low,10813.309684034419,10512.638282740714,101.26382827407143,0.0,10914.57351230849,15.12,0.62,0.0,0.0,5.0,7.115539989899844,8.692879998125136,5.0
2027,price_noise_high,10810.944272048993,10486.891539153301,98.68915391533011,0.0,10909.633425964323,14.78,0.64,0.0,0.0,5.0,6.617379991803318,7.92310000397265,5.0
2027,cef_noise_high,10809.38636785176,10684.590092772594,118.45900927725944,0.0,10927.845377129019,14.82,0.6,0.0,0.0,5.0,6.645060004666448,7.903639995492995,5.0
2027,bandwidth_dropout_20pct,10789.97826006562,10570.512007501422,107.0512007501422,0.0,10897.029460815762,14.42,0.56,0.0,0.0,5.0,6.806940003298223,7.102619984652847,5.0
2027,bandwidth_dropout_50pct,10789.97826006562,10570.512007501422,107.0512007501422,0.0,10897.029460815762,14.42,0.56,0.0,0.0,5.0,6.564960000105202,6.997639988549054,5.0
2028,clean,11215.748838494754,11105.010914497427,160.5010914497427,0.0,11376.249929944497,12.06,0.6,0.0,0.0,5.0,7.174779998604208,7.930299977306277,5.0
2028,price_noise_low,11166.384554716196,11081.977880730376,158.19778807303757,0.0,11324.582342789234,13.4,0.64,0.0,0.0,5.0,7.2545799892395735,7.971699966583401,5.0
2028,price_noise_high,11009.467973724939,11014.4507166807,151.44507166806997,0.0,11160.913045393008,13.78,0.66,0.0,0.0,5.0,7.417640008497983,8.26206001220271,5.0
2028,cef_noise_high,11215.931567607995,11201.660872832374,170.16608728323737,0.0,11386.097654891233,12.62,0.62,0.0,0.0,5.0,8.752739999908954,12.2050000121817,5.0
2028,bandwidth_dropout_20pct,11215.748838494754,11105.010914497427,160.5010914497427,0.0,11376.249929944497,12.06,0.6,0.0,0.0,5.0,6.629999994765967,6.937040004413575,5.0
2028,bandwidth_dropout_50pct,11215.748838494754,11105.010914497427,160.5010914497427,0.0,11376.249929944497,12.06,0.6,0.0,0.0,5.0,6.865200004540384,7.323439989704639,5.0
2029,clean,10946.669730779653,10665.321025914798,116.53210259147983,0.0,11063.201833371133,11.6,0.76,0.0,0.0,5.0,6.967560027260333,7.302920043002814,5.0
2029,price_noise_low,10978.577137491236,10656.88431445996,115.68843144599596,0.0,11094.265568937233,12.0,0.76,0.0,0.0,5.0,6.746539997402579,7.4754000175744295,5.0
2029,price_noise_high,10996.780153840024,10694.185916755892,119.41859167558924,0.0,11116.198745515612,12.74,0.74,0.0,0.0,5.0,6.681119999848306,8.127639989834279,5.0
2029,cef_noise_high,10969.41261306524,10812.939433078986,131.29394330789856,0.0,11100.70655637314,11.16,0.76,0.0,0.0,5.0,6.523059995379299,6.901540036778897,5.0
2029,bandwidth_dropout_20pct,10946.669730779653,10665.321025914798,116.53210259147983,0.0,11063.201833371133,11.6,0.76,0.0,0.0,5.0,6.8194399937056005,7.169679983053356,5.0
2029,bandwidth_dropout_50pct,10946.669730779653,10665.321025914798,116.53210259147983,0.0,11063.201833371133,11.6,0.76,0.0,0.0,5.0,7.778959989082068,9.531599981710315,5.0
2030,clean,11014.153994286884,10763.534395094584,126.35343950945844,0.0,11140.507433796342,10.14,0.32,0.0,0.0,5.0,6.847700010985136,8.03807998308912,5.0
2030,price_noise_low,10936.3705720437,10847.520014539721,134.75200145397213,0.0,11071.12257349767,10.9,0.36,0.0,0.0,5.0,6.515860022045672,6.984700006432831,5.0
2030,price_noise_high,10687.528684459183,10828.770747230148,132.87707472301483,0.0,10820.405759182198,12.1,0.38,0.0,0.0,5.0,6.695539993233979,7.123559981118888,5.0
2030,cef_noise_high,11024.170675076413,10737.394026436905,123.73940264369048,0.0,11147.910077720104,9.9,0.34,0.0,0.0,5.0,6.59995999885723,7.1545799961313605,5.0
2030,bandwidth_dropout_20pct,11014.153994286884,10763.534395094584,126.35343950945844,0.0,11140.507433796342,10.14,0.32,0.0,0.0,5.0,6.585240003187209,6.792260007932782,5.0
2030,bandwidth_dropout_50pct,11014.153994286884,10763.534395094584,126.35343950945844,0.0,11140.507433796342,10.14,0.32,0.0,0.0,5.0,6.810959987342358,7.616220007184893,5.0
2031,clean,11080.877121610356,10932.91566592549,143.29156659254895,0.0,11224.168688202904,12.02,0.72,0.0,0.0,5.0,6.386979983653873,6.600519979838282,5.0
2031,price_noise_low,11067.114755060396,10866.266943316528,136.62669433165283,0.0,11203.74144939205,12.52,0.72,0.0,0.0,5.0,6.48939999518916,6.671680021099746,5.0
2031,price_noise_high,11005.765329811431,10915.53199298982,141.55319929898198,0.0,11147.318529110413,14.34,0.72,0.0,0.0,5.0,6.8957600044086576,7.646100013516843,5.0
2031,cef_noise_high,11128.368222684212,10867.936593511125,136.79365935111255,0.0,11265.161882035325,14.1,0.76,0.0,0.0,6.0,6.720349997825299,7.124024996301159,6.0
2031,bandwidth_dropout_20pct,11080.877121610356,10932.91566592549,143.29156659254895,0.0,11224.168688202904,12.02,0.72,0.0,0.0,5.0,7.347539998590946,9.033079992514104,5.0
2031,bandwidth_dropout_50pct,11080.877121610356,10932.91566592549,143.29156659254895,0.0,11224.168688202904,12.02,0.72,0.0,0.0,5.0,7.749779999721795,9.92777997162193,5.0
2032,clean,11107.909228205233,10842.24571972921,134.22457197292098,0.0,11242.133800178155,11.38,0.7,0.0,0.0,5.0,9.270340017974377,12.469040043652058,5.0
2032,price_noise_low,11190.79106715228,10808.486566388496,130.84865663884958,0.0,11321.63972379113,11.04,0.76,0.0,0.0,5.0,6.5676999860443175,7.238959986716509,5.0
2032,price_noise_high,11303.519146711244,10789.907640607773,128.9907640607773,0.0,11432.509910772022,11.68,0.76,0.0,0.0,5.0,7.093219994567335,7.602919987402856,5.0
2032,cef_noise_high,11105.140949767614,10789.52609765845,128.95260976584504,0.0,11234.09355953346,11.5,0.7,0.0,0.0,5.0,7.342000014614314,8.063580025918782,5.0
